"Slug","Order","Name","Role","Testimonial","Image","Image:alt"
"karítas-k-mccrann","2","Karítas K. McCrann","Hotels Manager","“Working with Hitels on our websites redesign was a truly enjoyable process. From start to finish, their clear communication and flexible approach made everything run smoothly. The team was not only professional but also really easy to work with, always open to our ideas and changes. We're excited to see how these new sites will boost our online presence, drive more engagement, and increase direct bookings—it's already looking very promising!”","https://framerusercontent.com/images/jpE2MvAtwza3UkEVPBE4WSiwDlA.jpeg",""
"oskar","1","Óskar","Hotel Manager","“We were thrilled with Hitels' customized solutions for our website. Their expertise in creating a stylish and intuitive online presence has transformed how we connect with our guests. The new site not only looks superb but also enhances our customer interaction, leading to a notable increase in direct bookings.”","https://framerusercontent.com/images/4c4oz9HeqQBPwnOefaok9zcA0A.png",""
